Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
96,Joakim Noah,29,CHI,C,67,67,2049,0,0,0,0,100,2.2,-2.4,66,23,89,19,71,6,707,8,44,DPOY-12
97,Marcus Morris,25,PHO,PF,81,35,2045,0,0,51,47,2,-1.5,-0.8,36,18,104,6,41,12,305,9,25,
98,Timofey Mozgov,28,2TM,C,81,80,2045,0,0,0,0,100,5.9,6.9,22,40,140,22,95,6,131,14,54,
98,Timofey Mozgov,28,DEN,C,35,35,897,0,0,0,0,100,-2.3,1.9,8,12,69,10,39,3,37,10,25,
98,Timofey Mozgov,28,CLE,C,46,45,1148,0,0,0,0,100,12.3,10.9,14,28,71,12,56,3,94,4,29,
99,Donatas MotiejÅ«nas,24,HOU,PF,71,62,2037,0,0,0,37,63,2.4,-2.5,52,38,79,17,65,13,314,13,42,
100,Marvin Williams,28,CHO,PF,78,37,2035,0,0,1,99,0,-4.4,-2.0,28,10,67,17,25,9,224,8,12,
101,Brandon Knight,23,2TM,PG,63,61,2035,88,12,0,0,0,-1.4,-2.7,114,47,40,17,75,17,730,15,37,
101,Brandon Knight,23,MIL,PG,52,52,1688,100,0,0,0,0,-0.5,-2.1,98,43,32,16,69,14,622,14,33,
101,Brandon Knight,23,PHO,SG,11,9,347,32,68,0,0,0,-5.9,-5.3,16,4,8,1,6,3,108,1,4,
102,Kawhi Leonard,23,SAS,SF,64,64,2033,0,1,89,9,0,12.0,11.2,41,29,53,17,111,5,369,26,33,"MVP-10,DPOY-1,DEF1"
103,Wesley Matthews,28,POR,SG,60,60,2024,0,78,22,0,0,6.5,4.6,41,23,54,7,63,16,332,16,24,
104,Eric Gordon,26,NOP,SG,61,60,2018,54,44,2,0,0,1.8,0.9,62,35,79,10,57,7,507,12,41,
105,Rajon Rondo,28,2TM,PG,68,68,2018,90,10,0,0,0,-1.7,-5.2,149,42,49,6,28,24,1240,7,34,
105,Rajon Rondo,28,BOS,PG,22,22,699,99,2,0,0,0,-2.0,-2.5,52,16,15,1,15,6,542,3,14,
105,Rajon Rondo,28,DAL,PG,46,46,1319,86,14,0,0,0,-1.5,-6.7,97,26,34,5,13,18,698,4,20,
106,Lou Williams,28,TOR,SG,80,0,2016,11,80,9,0,0,7.0,7.7,60,29,58,7,159,14,390,24,45,6MOY-1
107,DeMarcus Cousins,24,SAC,C,59,59,2013,0,0,0,1,99,0.9,9.6,103,73,80,51,223,15,509,56,109,"AS,NBA2"
108,Al Jefferson,30,CHO,C,65,61,1992,0,0,0,0,100,-4.0,-1.1,24,22,97,4,80,6,255,19,53,
109,Greivis VÃ¡squez,28,TOR,PG,82,29,1991,67,33,0,0,0,1.9,-2.7,73,28,60,6,33,15,682,9,29,
110,Jason Thompson,28,SAC,PF,81,63,1991,0,0,0,52,49,-4.7,-1.8,28,24,112,22,62,5,187,7,35,
111,Boris Diaw,32,SAS,PF,81,15,1984,0,0,3,96,1,7.2,1.4,53,40,73,12,38,8,538,11,26,
112,Ãmer AÅÄ±k,28,NOP,C,76,76,1982,0,0,0,4,96,1.6,0.5,21,30,63,18,108,10,172,19,89,
113,Mo Williams,32,2TM,PG,68,33,1980,85,15,0,0,0,-3.2,5.2,107,45,58,9,44,21,915,4,20,
113,Mo Williams,32,MIN,PG,41,19,1149,100,0,0,0,0,-5.5,5.7,70,24,33,6,23,14,559,2,11,
113,Mo Williams,32,CHO,PG,27,14,831,64,36,0,0,0,0.0,4.4,37,21,25,3,21,7,356,2,9,
114,Amir Johnson,27,TOR,PF,75,72,1979,0,0,0,71,29,2.2,-2.2,33,27,88,38,58,5,259,11,52,
